budget,id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count,genres,keywords,production_companies,production_countries,spoken_languages,combine_feature,clean_feature,bayes_weighted_rating,bayes_weighted_rating_norm,sentiment_score,hybrid_score
270000000,1452,en,Superman Returns,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",57.925623,2006-06-28,391081192,154.0,Released,Tidak ada,Superman Returns,5.4,1400.0,"Adventure, Fantasy, Action, Science Fiction","saving the world, dc comics, invulnerability, sequel, superhero, based on comic book, kryptonite, super powers, superhuman strength, lex luthor","DC Comics, Legendary Pictures, Warner Bros., Bad Hat Harry Productions",United States of America,"English, Français, Deutsch","Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel. Adventure, Fantasy, Action, Science Fiction saving the world, dc comics, invulnerability, sequel, superhero, based on comic book, kryptonite, super powers, superhuman strength, lex luthor Tidak ada",superman return discover year absence allowed lex luthor walk free closest felt abandoned moved luthor plot ultimate revenge could see million killed change face planet forever well ridding man steel adventure fantasy action science fiction saving world dc comic invulnerability sequel superhero based comic book kryptonite super power superhuman strength lex luthor tidak ada,5.63871335484734,0.2365521647300003,0.046875,0.533375
200000000,10764,en,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",107.928811,2008-10-30,586090727,106.0,Released,"For love, for hate, for justice, for revenge.",Quantum of Solace,6.1,2965.0,"Adventure, Action, Thriller, Crime","killing, undercover, secret agent, british secret service",Eon Productions,"United Kingdom, United States of America","English, Español, Italiano, Français, Deutsch","Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined. Adventure, Action, Thriller, Crime killing, undercover, secret agent, british secret service For love, for hate, for justice, for revenge.",quantum solace continues adventure james bond casino royale betrayed vesper woman loved fight urge make latest mission personal pursuing determination uncover truth bond interrogate mr white reveals organization blackmailed vesper far complex dangerous anyone imagined adventure action thriller crime killing undercover secret agent british secret service love hate justice revenge,6.0984415017041504,0.368358558626666,0.1125,0.5885
200000000,58,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,2006-06-20,1065659812,151.0,Released,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7.0,5246.0,"Adventure, Fantasy, Action","witch, fortune teller, bondage, exotic island, monster, captain, card game, east india trading company, compass, ship, daughter, pirate, swashbuckler, aftercreditsstinger","Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions","Jamaica, United States of America, Bahamas, Dominica","English, Türkçe, ελληνικά, 普通话","Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation. Adventure, Fantasy, Action witch, fortune teller, bondage, exotic island, monster, captain, card game, east india trading company, compass, ship, daughter, pirate, swashbuckler, aftercreditsstinger Jack is back!",captain jack sparrow work way blood debt ghostly davey jones also attempt avoid eternal damnation adventure fantasy action witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger jack back,6.888171559302818,0.5947781758625613,0.0,0.62
255000000,57201,en,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",49.046956,2013-07-03,89289910,149.0,Released,Never Take Off the Mask,The Lone Ranger,5.9,2311.0,"Action, Adventure, Western","texas, horse, survivor, texas ranger, partner, outlaw, escape, lawyer, train, lone ranger, comanche, the lone ranger, tonto","Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil, Silver Bullet Productions (II), Blind Wink Productions, Classic Media",United States of America,English,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice. Action, Adventure, Western texas, horse, survivor, texas ranger, partner, outlaw, escape, lawyer, train, lone ranger, comanche, the lone ranger, tonto Never Take Off the Mask",texas ranger chase gang outlaw led butch cavendish gang ambush ranger seemingly killing one survivor found however american indian named tonto nurse back health ranger donning mask riding white stallion named silver team tonto bring unscrupulous gang others ilk justice action adventure western texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche lone ranger tonto never take mask,5.946466679563244,0.3247866054921126,-0.03888888888888889,0.5462222222222223
225000000,49521,en,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",99.398009,2013-06-12,662845518,143.0,Released,You will believe that a man can fly.,Man of Steel,6.5,6359.0,"Action, Adventure, Fantasy, Science Fiction","saving the world, dc comics, superhero, based on comic book, superhuman, alien invasion, reboot, super powers, dc extended universe","Legendary Pictures, Warner Bros., DC Entertainment, Syncopy, Cruel and Unusual Films","United Kingdom, United States of America",English,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind. Action, Adventure, Fantasy, Science Fiction saving the world, dc comics, superhero, based on comic book, superhuman, alien invasion, reboot, super powers, dc extended universe You will believe that a man can fly.",young boy learns extraordinary power earth young man journey discover came sent hero must emerge save world annihilation become symbol hope mankind action adventure fantasy science fiction saving world dc comic superhero based comic book superhuman alien invasion reboot super power dc extended universe believe man fly,6.457642395618484,0.4713432786944007,0.17777777777777778,0.6255555555555556
225000000,2454,en,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",53.978602,2008-05-15,419651413,150.0,Released,Hope has a new face.,The Chronicles of Narnia: Prince Caspian,6.3,1630.0,"Adventure, Family, Fantasy","based on novel, fictional place, brother sister relationship, lion, human being, wretch, leap in time, matter of life and death, faith, uncle, narnia, fantasy world","Walt Disney, Walden Media, Stillking Films, Ozumi Films, Propeler, Silverbell Films, Revolution Sun Studios","Czech Republic, Poland, Slovenia, United States of America",English,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir. Adventure, Family, Fantasy based on novel, fictional place, brother sister relationship, lion, human being, wretch, leap in time, matter of life and death, faith, uncle, narnia, fantasy world Hope has a new face.",one year incredible adventure lion witch wardrobe peter edmund lucy susan pevensie return narnia aid young prince whose life threatened evil king miraz help colorful cast new character including trufflehunter badger nikabrik dwarf pevensie clan embarks incredible quest ensure narnia returned rightful heir adventure family fantasy based novel fictional place brother sister relationship lion human wretch leap time matter life death faith uncle narnia fantasy world hope new face,6.235289581457019,0.4075935979150631,0.22272727272727275,0.6225454545454545
220000000,24428,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",144.448633,2012-04-25,1519557910,143.0,Released,Some assembly required.,The Avengers,7.4,11776.0,"Science Fiction, Action, Adventure","new york, shield, marvel comic, superhero, based on comic book, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe","Paramount Pictures, Marvel Studios",United States of America,English,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins! Science Fiction, Action, Adventure new york, shield, marvel comic, superhero, based on comic book, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe Some assembly required.",unexpected enemy emerges threatens global safety security nick fury director international peacekeeping agency known shield find need team pull world back brink disaster spanning globe daring recruitment effort begin science fiction action adventure new york shield marvel comic superhero based comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe assembly required,7.3229705457770935,0.7194372529039096,0.025,0.649
380000000,1865,en,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",135.413856,2011-05-14,1045713802,136.0,Released,Live Forever Or Die Trying.,Pirates of the Caribbean: On Stranger Tides,6.4,4948.0,"Adventure, Action, Fantasy","sea, captain, mutiny, sword, prime minister, sailing, silver, ship, duke, mermaid, pirate, soldier, battle, swashbuckler, aftercreditsstinger, 3d","Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company (MPC)",United States of America,"English, Español","Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past. Adventure, Action, Fantasy sea, captain, mutiny, sword, prime minister, sailing, silver, ship, duke, mermaid, pirate, soldier, battle, swashbuckler, aftercreditsstinger, 3d Live Forever Or Die Trying.",captain jack sparrow cross path woman past he sure love shes ruthless con artist who using find fabled fountain youth force aboard queen anne revenge ship formidable pirate blackbeard jack find unexpected adventure doesnt know fear blackbeard woman past adventure action fantasy sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger live forever die trying,6.3600933050675055,0.44337545914423415,0.006249999999999992,0.58525
225000000,41154,en,Men in Black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",52.035179,2012-05-23,624026776,106.0,Released,They are back... in time.,Men in Black 3,6.2,4160.0,"Action, Comedy, Science Fiction","time travel, time machine, alien, fictional government agency, seeing the future, changing history","Amblin Entertainment, Media Magik Entertainment, Imagenation Abu Dhabi FZ, Hemisphere Media Capital, Parkes/MacDonald Productions",United States of America,English,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind. Action, Comedy, Science Fiction time travel, time machine, alien, fictional government agency, seeing the future, changing history They are back... in time.",agent j smith k tommy lee jones backin time j seen inexplicable thing year men black nothing even alien perplexes much wry reticent partner k life fate planet put stake agent j travel back time put thing right j discovers secret universe k never told secret reveal team young agent k josh brolin save partner agency future humankind action comedy science fiction time travel time machine alien fictional government agency seeing future changing history back time,6.183771786667096,0.39282318457580073,-0.02585034013605442,0.5668299319727891
250000000,122917,en,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",120.965743,2014-12-10,956019788,144.0,Released,Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,7.1,4760.0,"Action, Adventure, Fantasy","corruption, elves, dwarves, orcs, middle-earth (tolkien), hobbit, dragon, battle, unlikely friendship, epic battle, sword and sorcery","WingNut Films, New Line Cinema, Warner Bros. Pictures, 3Foot7, Metro-Goldwyn-Mayer (MGM)","New Zealand, United States of America",English,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands. Action, Adventure, Fantasy corruption, elves, dwarves, orcs, middle-earth (tolkien), hobbit, dragon, battle, unlikely friendship, epic battle, sword and sorcery Witness the defining chapter of the Middle-Earth saga",immediately event desolation smaug bilbo dwarf try defend erebors mountain treasure others claim men ruined laketown elf mirkwood meanwhile army orcs led azog defiler marching erebor fueled rise dark lord sauron dwarf elf men must unite hope middleearth fall bilbos hand action adventure fantasy corruption elf dwarf orcs middleearth tolkien hobbit dragon battle unlikely friendship epic battle sword sorcery witness defining chapter middleearth saga,6.964877285666502,0.6167700970715333,-0.15,0.596
